ID, Word, DocID
874, birthday, 3
875, birthright, 13
876, biscuit, 6
877, biserta, 13
878, bit, 1 2 3 4 6 9 10 11
879, bite, 3 5 6
880, bitnet, 12
881, bitter, 3 6 7 8 13 14 15 16
882, bitumin, 16
883, bizanc, 16
884, bizarr, 10
885, black, 4 6 7 10 11 12 13 15 16
886, blacker, 8
887, blackest, 13 14
888, blade, 2
889, blain, 16
890, blame, 3 8 13 14 15 16
891, blamest, 15
892, blanc, 16
893, blanch, 11
894, bland, 14 15
895, blandish, 15
896, blank, 7 13 15
897, blanton, 12
898, blasphem, 14 16
899, blasphemd, 13
900, blast, 4 13 14 16
901, blaze, 13 14 15 16
902, bleak, 6
903, bleat, 13 15 16
904, bled, 8
905, bleed, 1 10 12 14
906, blemish, 11
907, bless, 5 7 8 10 11 13 14 15 16
908, blessed, 15
909, blest, 6 13 14 15 16
910, blew, 4 16
911, blind, 5 7 13
912, blis, 16
913, bliss, 13 14 15 16
914, blith, 15 16
915, block, 5 12
916, blood, 5 6 8 13 14 15 16
917, bloodi, 6 7 8 16
918, bloom, 13 14 15
919, blossom, 6 14 15
920, blot, 13 16
921, blow, 2 3 5 6 13 14 15 16
922, blown, 1 14 15 16
923, blue, 7 9 16
924, blueberri, 10
925, blush, 5 6 15 16
926, bluster, 13 16
927, bmi, 11
928, boar, 5
929, board, 8 10 11 12 13 14
930, boast, 6 8 13 14 15 16
931, bob, 6
932, boder, 13
933, bodi, 3 5 6 8 9 10 11 13 14 15 16
934, boethiu, 9
935, bog, 13 15
936, boggi, 13
937, bohdan, 12
938, boil, 10 13 14 16
939, boister, 6 8
940, bold, 5 9 11 12 13 14 15 16
941, boldend, 6
942, bolder, 13 15 16
943, boldest, 14
944, boldfac, 9
945, boldli, 4 13 14
946, bolt, 8 13 14 15
947, bon, 5
948, bond, 5 8 11 13 15
949, bondag, 8 13
950, bone, 2 4 13 14 15 16
951, bonita, 12
952, bonnet, 7
953, bonni, 6
954, book, 1 3 4 5 6 8 9 10 11 12 13 14 15 16
955, bookmark, 9
956, boolean, 9 11
957, boon, 4 14 15
958, boorish, 8
959, boot, 1 4
960, booti, 16
961, border, 11 12 13 14 15
962, bore, 3 8 10 13 14 15
963, borea, 16
964, born, 5 6 7 8 12 13 14 15 16
965, borrow, 7 11 13 14 15
966, bosom, 8 13 14 15 16
967, bosporu, 13
968, bossi, 13
969, boston, 9
970, botch, 16
971, bother, 2 9
972, bottl, 1 2 6
973, bottleneck, 12
974, bottom, 3 7 8 9 13 14 15 16
975, bottomless, 7 13 15
976, bough, 2 6 8 14 15
977, bought, 7 14 16
978, boulevard, 12
979, bound, 4 5 6 7 8 9 10 11 12 13 14 15 16
980, boundari, 9 10 11
981, bounden, 5
982, boundless, 13 15
983, bounteou, 14 15
984, bounti, 5 14 15 16
985, bow, 1 2 3 7 8 13 14 15 16
986, bowdoin, 9
987, bowel, 13
988, bower, 13 14 15 16
989, box, 1 2 3 4 11 12
990, boy, 2 4 5 6 7 8
991, boylston, 12
992, brace, 16
993, brag, 8
994, braid, 14
995, brain, 2 6 7 8
996, brake, 14 15
997, brambl, 7
998, branch, 2 3 8 10 12 14 15
999, brand, 16
1000, brandi, 2
1001, brandish, 13 14 16
1002, brass, 1 13 14 16
1003, brave, 1 7
1004, braveri, 6
1005, brawl, 5
1006, bray, 14
1007, brazen, 13 14 15 16
1008, breach, 15
1009, bread, 2 3 4 7 16
1010, breadth, 13 16
1011, break, 2 3 5 6 7 8 11 12 13 14 15
1012, breakthrough, 9 11
1013, breast, 13 14 15 16
1014, breath, 1 2 3 4 5 6 8 13 14 15 16
1015, breather, 7
1016, breathst, 13
1017, bred, 5 6 13 14 15 16
1018, breed, 5 6 7 13 15
1019, breez, 4
1020, brethren, 13 16
1021, briareo, 13
1022, brick, 16
1023, bridal, 15
1024, bride, 8
1025, bridegroom, 8
1026, bridg, 9 10 12 13 16
1027, brief, 6 8 10 11 14 15 16
1028, briefli, 6 11 12 14
1029, brier, 5
1030, brigad, 13
1031, bright, 1 2 3 4 5 8 10 13 14 15 16
1032, brighten, 1 4 13 15
1033, brighter, 15 16
1034, brightest, 13 14
1035, brim, 14
1036, brimston, 13
1037, brind, 15
1038, bring, 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
1039, bringest, 7
1040, brink, 13 16
1041, bristl, 1 14
1042, british, 9 11 13
1043, brittl, 9 10 11 12 13
1044, broad, 9 10 11 12 13 14 15 16
1045, broadcast, 10 11
1046, broaden, 11
1047, broader, 9 11 12
1048, broadli, 12
1049, broadsid, 9 10 11 12
1050, broider, 14
1051, broil, 13 14 16
1052, broke, 2 5 6 13 14 15 16
1053, broken, 1 2 3 5 7 8 13
1054, brood, 13 15
1055, brook, 5 7 13 14 15 16
1056, brother, 1 5 6 7 8 14 16
1057, brotherli, 5
1058, brought, 2 3 8 9 10 11 13 14 15 16
1059, brow, 7 8 13 14 15 16
1060, brown, 1 4 10 12 15
1061, browner, 7 8
1062, brownrigg, 9 10 12
1063, brownvm, 12
1064, brows, 9 10 11 12
1065, bruis, 14 16
1066, brunner, 9
1067, brunswick, 12
1068, brush, 3 4 9 13 14
1069, brutal, 15
1070, brute, 13 15 16
1071, brutish, 6 13 14 16
1072, bubbl, 6
1073, buckl, 6
1074, bud, 15 16
1075, budget, 10 12
1076, buff, 9
1077, bugaboo, 9
1078, bugl, 7
1079, build, 9 10 11 12 13 14 15 16
1080, builder, 10 11 13 16
1081, buildup, 10
1082, built, 9 10 11 13 14 15 16
1083, bulk, 9 11 13 15 16
1084, bull, 13 16
1085, bulletin, 10
1086, bullheadedli, 11
1087, bullion, 13
1088, bullock, 16
1089, bulwark, 13
1090, bundl, 11
1091, bur, 5
1092, burden, 7 8 11 12 13 14 15 16
